fips,county,state,uninsured_population,total_population,hospital_count
22105,Tangipahoa,LA,15792,144161,2
22115,Vernon,LA,646,5243,0
21003,Allen,KY,3236,37745,0
21009,Barren,KY,6178,34458,0
21017,Bourbon,KY,1468,23353,0
21025,Breathitt,KY,35708,238114,4
21031,Butler,KY,895,10201,0
21043,Carter,KY,2590,24560,0
21053,Clinton,KY,3724,21908,0
21063,Elliott,KY,15949,126341,2
21077,Gallatin,KY,1913,19939,0
21087,Green,KY,5117,40897,1
21099,Hart,KY,2887,45068,0
21103,Henry,KY,1459,9428,0
21115,Johnson,KY,21657,162165,7
21121,Knox,KY,2343,16578,0
21137,Lincoln,KY,17569,172078,6
21143,Lyon,KY,5799,39451,1
21151,Madison,KY,2270,23146,0
21157,Marshall,KY,6780,111077,4
21169,Metcalfe,KY,698,4696,0
21175,Morgan,KY,3737,25231,0
19045,Clinton,IA,1475,24311,0
19047,Crawford,IA,1863,42635,0
19055,Delaware,IA,579,14927,0
19063,Emmet,IA,2358,55099,0
19067,Floyd,IA,2039,29829,1
19079,Hamilton,IA,9375,172325,3
19087,Henry,IA,521,24550,0
19095,Iowa,IA,10551,150901,2
19105,Jones,IA,473,8223,0
19113,Linn,IA,995,19670,0
19121,Madison,IA,1514,36966,0
19125,Marion,IA,501,15739,0
19137,Montgomery,IA,4312,140788,2
19141,O'Brien,IA,1856,28301,0
19151,Pocahontas,IA,12831,220789,4
19161,Sac,IA,6457,222236,9
19169,Story,IA,914,25068,1
19175,Union,IA,1431,30391,1
19181,Warren,IA,2295,48065,1
19195,Worth,IA,1019,17255,0
20005,Atchison,KS,1626,28026,1
20015,Butler,KS,14847,103927,2
27073,Lac qui Parle,MN,635,12135,0
27083,Lyon,MN,402,9699,0
27085,McLeod,MN,3852,160842,6
27093,Meeker,MN,3149,49661,0
27103,Nicollet,MN,411,13067,0
27113,Pennington,MN,3242,58220,0
27121,Pope,MN,1070,15852,0
27127,Redwood,MN,14819,230384,4
27147,Steele,MN,1573,34665,0
27153,Todd,MN,691,21055,0
27161,Waseca,MN,809,28665,1
28003,Alcorn,MS,939,7058,0
28013,Calhoun,MS,68996,552722,13
28017,Chickasaw,MS,2287,16864,0
28029,Copiah,MS,992,5111,0
28037,Franklin,MS,3133,20194,0
28049,Hinds,MS,26971,189583,4
28061,Jasper,MS,35354,158871,2
28065,Jefferson Davis,MS,2728,11019,0
28075,Lauderdale,MS,17528,81729,2
22121,West Baton Rouge,LA,240,2691,0
22127,Winn,LA,491,4690,0
23009,Hancock,ME,8865,130587,3
23029,Washington,ME,18882,277510,5
24001,Allegany,MD,1611,26732,0
24003,Anne Arundel,MD,19813,137078,2
24009,Calvert,MD,873,9659,0
24017,Charles,MD,4513,26922,0
24019,Dorchester,MD,1691,15989,0
24029,Kent,MD,1664,11903,0
24035,Queen Anne's,MD,683,4546,0
24037,St. Mary's,MD,4458,25115,0
24039,Somerset,MD,1457,8988,0
24041,Talbot,MD,617,3765,0
25011,Franklin,MA,6088,88631,3
26009,Antrim,MI,7477,84830,3
26015,Barry,MI,33465,187389,3
26023,Branch,MI,314,3795,0
26035,Clare,MI,1959,20026,0
26037,Clinton,MI,4981,29273,0
26045,Eaton,MI,17369,288245,5
26057,Gratiot,MI,11746,128020,5
26061,Houghton,MI,6152,47938,1
26073,Isabella,MI,3014,54308,0
26077,Kalamazoo,MI,7149,46380,0
26083,Keweenaw,MI,4462,81850,3
26085,Lake,MI,7331,73484,1
26091,Lenawee,MI,10113,58344,1
26097,Mackinac,MI,12594,105991,2
26103,Marquette,MI,2901,44815,0
26107,Mecosta,MI,3645,29637,0
26111,Midland,MI,2376,12195,0
26117,Montcalm,MI,4685,29125,0
26123,Newaygo,MI,8014,130495,2
26133,Osceola,MI,8048,84575,3
26143,Roscommon,MI,10620,66098,1
26155,Shiawassee,MI,6696,101801,3
26161,Washtenaw,MI,1083,7521,0
26165,Wexford,MI,5871,37390,1
27009,Benton,MN,876,21548,0
27019,Carver,MN,4561,147523,2
27029,Clearwater,MN,152,6288,0
27039,Dodge,MN,442,8467,0
27051,Grant,MN,400,7282,0
27057,Hubbard,MN,2288,29922,1
27067,Kandiyohi,MN,5392,95768,1
29097,Jasper,MO,3377,62905,2
29103,Knox,MO,7965,59162,1
29109,Lawrence,MO,2120,18478,0
29117,Livingston,MO,3453,24840,0
29131,Miller,MO,1787,23363,0
29137,Monroe,MO,1382,7555,0
29151,Osage,MO,1480,16187,0
29159,Pettis,MO,984,15732,0
29169,Pulaski,MO,1315,15993,0
29179,Reynolds,MO,1435,10492,0
29195,Saline,MO,3389,29514,0
29205,Shelby,MO,3245,41624,1
29211,Sullivan,MO,937,4760,0
29221,Washington,MO,17195,104391,1
29229,Wright,MO,7148,70029,1
30013,Cascade,MT,499,7281,0
30037,Golden Valley,MT,1235,10250,0
30043,Jefferson,MT,981,8416,0
31121,Merrick,NE,3467,26915,0
31125,Nance,NE,1098,11904,0
31135,Perkins,NE,2514,15949,0
31137,Phelps,NE,8570,54923,1
31147,Richardson,NE,10015,69411,1
31159,Seward,NE,1009,4653,0
31163,Sherman,NE,6409,88820,1
31171,Thomas,NE,9713,140350,2
31183,Wheeler,NE,2644,18920,0
32009,Esmeralda,NV,2809,12177,0
32021,Mineral,NV,3881,17985,0
32033,White Pine,NV,14900,77805,2
34007,Camden,NJ,934,9128,0
34015,Gloucester,NJ,388,3855,0
34031,Passaic,NJ,2411,17481,0
35001,Bernalillo,NM,3360,16227,0
35006,Cibola,NM,4356,25348,0
30051,Liberty,MT,13673,97320,3
30059,Meagher,MT,4313,52910,0
30069,Petroleum,MT,2015,35472,0
30093,Silver Bow,MT,7344,48897,2
30099,Teton,MT,13200,128285,1
30107,Wheatland,MT,10024,132023,1
31003,Antelope,NE,1813,10512,0
31009,Blaine,NE,6632,38613,0
31023,Butler,NE,18569,162319,2
31035,Clay,NE,6182,34777,1
31037,Colfax,NE,3894,24246,0
31047,Dawson,NE,1179,14578,0
31053,Dodge,NE,457,2558,0
31063,Frontier,NE,7305,119222,2
31073,Gosper,NE,1382,13973,0
31085,Hayes,NE,618,3258,0
31093,Howard,NE,4835,83263,3
31097,Johnson,NE,1756,15231,0
31117,McPherson,NE,3564,54621,0
28079,Leake,MS,1374,9947,0
28083,Leflore,MS,7871,43158,0
28095,Monroe,MS,4967,37418,1
28099,Neshoba,MS,1319,6273,0
28103,Noxubee,MS,6740,36256,1
28115,Pontotoc,MS,1772,14218,0
28117,Prentiss,MS,1338,5324,0
28127,Simpson,MS,1470,5467,0
28139,Tippah,MS,10542,98714,2
28151,Washington,MS,3668,13199,0
29001,Adair,MO,868,4649,0
29009,Barry,MO,3575,37553,1
29021,Buchanan,MO,5060,34989,1
29033,Carroll,MO,1167,8338,0
29043,Christian,MO,3300,19202,0
29053,Cooper,MO,2419,14608,0
29065,Dent,MO,3300,58597,1
29075,Gentry,MO,1788,22861,0
29085,Hickory,MO,514,4719,0
37001,Alamance,NC,5045,55025,1
37005,Alleghany,NC,293,3424,0
37017,Bladen,NC,5350,46761,0
37021,Buncombe,NC,7342,70519,2
37027,Caldwell,NC,1477,10555,0
37055,Dare,NC,45333,268381,5
37057,Davidson,NC,1003,10994,0
37067,Forsyth,NC,4468,52634,0
37081,Guilford,NC,11837,158978,2
37091,Hertford,NC,9512,84687,1
37103,Jones,NC,760,7789,0
37117,Martin,NC,1697,17556,0
37127,Nash,NC,1968,31334,0
37141,Pender,NC,3392,20092,0
37151,Randolph,NC,1561,19830,0
37165,Scotland,NC,2745,39329,1
37167,Stanly,NC,926,6738,0
39055,Geauga,OH,3788,52713,0
39063,Hancock,OH,377,2606,0
39065,Hardin,OH,13391,129244,2
39075,Holmes,OH,265,4500,0
39089,Licking,OH,8210,72779,1
39097,Madison,OH,31766,188782,7
39109,Miami,OH,1312,7791,0
39121,Noble,OH,3406,19058,0
39131,Pike,OH,48427,358762,5
39143,Sandusky,OH,5323,53611,1
39147,Seneca,OH,1010,7687,0
39159,Union,OH,300,5087,0
39169,Wayne,OH,1682,28200,0
39173,Wood,OH,10610,195494,2
40009,Beckham,OK,12679,61280,1
40019,Carter,OK,602,3277,0
40031,Comanche,OK,18445,74937,3
40043,Dewey,OK,2477,13322,0
40053,Grant,OK,1313,11625,0
37181,Vance,NC,4972,28853,0
37191,Wayne,NC,5407,88448,1
37197,Yadkin,NC,15311,252392,9
38007,Billings,ND,14288,97762,2
38019,Cavalier,ND,1365,16048,0
38031,Foster,ND,1267,9249,0
38035,Grand Forks,ND,380,3699,0
38045,LaMoure,ND,3535,35539,1
38061,Mountrail,ND,872,13257,0
38073,Ransom,ND,2374,28705,0
38079,Rolette,ND,4226,56032,2
38091,Steele,ND,2033,11975,0
38103,Wells,ND,2741,12113,0
39003,Allen,OH,8167,65415,2
39015,Brown,OH,773,7402,0
39027,Clinton,OH,4853,39939,0
39039,Defiance,OH,2426,22676,0
39047,Fayette,OH,40878,266419,6
35015,Eddy,NM,4036,29616,0
35027,Lincoln,NM,26993,242978,3
35028,Los Alamos,NM,4872,27685,0
35045,San Juan,NM,15433,70601,1
35053,Socorro,NM,33763,172501,7
36003,Allegany,NY,14403,149800,2
36021,Columbia,NY,8078,54640,0
36037,Genesee,NY,2151,25727,0
36043,Herkimer,NY,4068,32605,0
36057,Montgomery,NY,1616,11109,0
36069,Ontario,NY,1180,10178,0
36083,Rensselaer,NY,3830,27245,0
36095,Schoharie,NY,277,3407,0
36109,Tompkins,NY,1111,15699,0
36121,Wyoming,NY,10428,101588,3
36123,Yates,NY,2661,49477,0
42013,Blair,PA,785,6451,0
42015,Bradford,PA,1349,11428,0
42021,Cambria,PA,4443,34825,0
42031,Clarion,PA,6257,39131,0
42047,Elk,PA,23715,267468,5
42063,Indiana,PA,854,9580,0
42069,Lackawanna,PA,782,8869,0
42087,Mifflin,PA,2636,29004,0
42093,Montour,PA,378,7088,0
42105,Potter,PA,4225,30399,0
42113,Sullivan,PA,7097,116832,5
42123,Warren,PA,5445,63523,1
45005,Allendale,SC,1521,8445,0
45009,Bamberg,SC,13349,85062,3
45027,Clarendon,SC,14350,80316,3
45039,Fairfield,SC,40546,457112,6
47005,Benton,TN,3961,25365,0
47007,Bledsoe,TN,237,1701,0
47013,Campbell,TN,1091,13375,0
47027,Clay,TN,2328,19395,0
47031,Coffee,TN,4550,53696,0
47045,Dyer,TN,965,4986,0
47057,Grainger,TN,3839,36973,0
47069,Hardeman,TN,18321,295024,6
47081,Hickman,TN,35617,245601,5
47093,Knox,TN,2931,50338,1
47105,Loudon,TN,899,10737,0
47117,Marshall,TN,1907,13475,0
47129,Morgan,TN,2777,44131,0
47139,Polk,TN,4366,27037,0
47151,Scott,TN,333,4155,0
47173,Union,TN,709,7732,0
47179,Washington,TN,3081,21866,0
45049,Hampton,SC,4391,87576,1
45053,Jasper,SC,1552,11190,0
45075,Orangeburg,SC,1464,24728,0
45081,Saluda,SC,4579,50476,0
46003,Aurora,SD,9713,54241,1
46007,Bennett,SD,4260,31676,0
46017,Buffalo,SD,7096,101843,2
46029,Codington,SD,28286,461682,18
46035,Davison,SD,10539,105474,1
46043,Douglas,SD,1640,19073,0
46055,Haakon,SD,5048,39136,0
46061,Hanson,SD,53093,391566,11
46087,McCook,SD,4715,32032,0
46095,Mellette,SD,12263,189673,4
46103,Pennington,SD,7933,44798,0
46111,Sanborn,SD,16204,166195,3
46125,Turner,SD,499,8895,0
46137,Ziebach,SD,5256,50537,0
40059,Harper,OK,969,4652,0
40063,Hughes,OK,6561,33622,0
40073,Kingfisher,OK,9075,44316,0
40081,Lincoln,OK,1309,6592,0
40087,McClain,OK,10760,52189,0
40097,Mayes,OK,7696,36983,1
40109,Oklahoma,OK,7764,70856,1
40123,Pontotoc,OK,5936,35276,0
40127,Pushmataha,OK,4604,29677,0
40147,Washington,OK,972,4365,0
40153,Woodward,OK,13650,79937,2
41017,Deschutes,OR,26027,154180,2
41031,Jefferson,OR,2423,23277,0
41037,Lake,OR,1756,17842,0
41053,Polk,OR,12595,81493,1
41069,Wheeler,OR,4299,26899,0
42005,Armstrong,PA,2525,33195,0
48357,Ochiltree,TX,2036,10198,0
48359,Oldham,TX,14039,59725,1
48367,Parker,TX,3548,23354,0
48379,Rains,TX,47866,414095,8
48381,Randall,TX,1456,10289,0
48393,Roberts,TX,33486,163250,4
48397,Rockwall,TX,9312,38067,1
48411,San Saba,TX,3861,14496,0
48425,Somervell,TX,1976,17774,0
48429,Stephens,TX,14685,119094,4
48433,Stonewall,TX,4767,26430,0
48445,Terry,TX,1803,12454,0
48449,Titus,TX,55222,269995,12
48459,Upshur,TX,9456,83180,2
48463,Uvalde,TX,3255,16149,0
48475,Ward,TX,4405,20758,0
48491,Williamson,TX,2414,19961,0
48497,Wise,TX,3372,14597,0
48507,Zavala,TX,6132,26012,0
49011,Davis,UT,2275,20697,0
47185,White,TN,7071,69772,3
47189,Wilson,TN,3654,46908,1
48009,Archer,TX,2667,14151,0
48011,Armstrong,TX,2283,17580,0
48021,Bastrop,TX,7564,34334,0
48031,Blanco,TX,2716,15728,0
48047,Brooks,TX,3805,29973,0
48053,Burnet,TX,10271,46178,0
48063,Camp,TX,17346,76794,1
48069,Castro,TX,1546,5788,0
48079,Cochran,TX,5145,40123,0
48095,Concho,TX,20445,139693,3
48099,Coryell,TX,1523,9904,0
48103,Crane,TX,3882,14664,0
48115,Dawson,TX,55392,256265,4
48123,DeWitt,TX,3400,23409,0
48127,Dimmit,TX,10579,43126,0
48137,Edwards,TX,1025,7434,0
48149,Fayette,TX,33810,135707,1
48159,Franklin,TX,1985,7922,0
48169,Garza,TX,22816,97927,2
48177,Gonzales,TX,1720,15614,0
48179,Gray,TX,3836,12356,0
48185,Grimes,TX,1976,17154,0
48191,Hall,TX,51691,254543,9
48195,Hansford,TX,3883,15998,0
48217,Hill,TX,2447,10022,0
48227,Howard,TX,830,3776,0
48233,Hutchinson,TX,3501,14068,0
48247,Jim Hogg,TX,2058,15175,0
48251,Johnson,TX,9203,74800,1
48263,Kent,TX,4797,24070,0
48265,Kerr,TX,1606,11420,0
48275,Knox,TX,3917,19670,0
48283,La Salle,TX,7738,33237,0
48297,Live Oak,TX,4337,25552,0
48303,Lubbock,TX,3808,17894,0
48309,McLennan,TX,1896,8105,0
48319,Mason,TX,4768,20730,0
48329,Midland,TX,14905,133272,2
48339,Montgomery,TX,16952,72119,1
48349,Navarro,TX,9189,77845,1
48353,Nolan,TX,2196,7827,0
51121,Montgomery,VA,12650,75118,1
51125,Nelson,VA,773,6927,0
51141,Patrick,VA,5284,50544,1
51145,Powhatan,VA,976,5127,0
51155,Pulaski,VA,1241,9408,0
51157,Rappahannock,VA,1512,27559,0
51173,Smyth,VA,647,4566,0
51187,Warren,VA,764,3551,0
51197,Wythe,VA,1928,16926,0
51510,Alexandria,VA,1290,15178,0
51530,Buena Vista,VA,3331,43001,0
51540,Charlottesville,VA,38053,233837,3
51595,Emporia,VA,2791,30864,0
51660,Harrisonburg,VA,8192,74930,1
51670,Hopewell,VA,8342,53116,1
51760,Richmond,VA,2205,40870,1
51775,Salem,VA,6138,37624,0
51820,Waynesboro,VA,3415,20542,0
53013,Columbia,WA,5134,51215,1
53021,Franklin,WA,333161,2063884,39
55029,Door,WI,2185,49044,2
55033,Dunn,WI,7309,355997,5
55039,Fond du Lac,WI,1304,63616,1
55045,Green,WI,5730,73444,1
55063,La Crosse,WI,946,23119,0
55069,Lincoln,WI,1669,24043,0
55073,Marathon,WI,416,5563,0
55081,Monroe,WI,1084,40945,1
55095,Polk,WI,5101,81406,1
55103,Richland,WI,1204,18264,0
55115,Shawano,WI,3318,54536,0
55129,Washburn,WI,555,12685,0
55141,Wood,WI,2270,35706,1
56025,Natrona,WY,9773,41418,0
56031,Platte,WY,7410,32774,0
56033,Sheridan,WY,1845,14365,0
56045,Weston,WY,11647,57672,1
72013,Arecibo,PR,1283,8011,0
53041,Lewis,WA,2711,14790,0
53045,Mason,WA,38679,652727,10
53065,Stevens,WA,2983,29953,0
54001,Barbour,WV,1412,11689,0
54007,Braxton,WV,3742,26166,0
54013,Calhoun,WV,2024,27742,0
54021,Gilmer,WV,8480,56769,1
54039,Kanawha,WV,7001,53904,1
54049,Marion,WV,1758,23164,0
54061,Monongalia,WV,1137,6796,0
54079,Putnam,WV,541,5501,0
54089,Summers,WV,2393,16551,0
54101,Webster,WV,298,1510,0
55003,Ashland,WI,4242,125874,2
55005,Barron,WI,1559,37130,0
55007,Bayfield,WI,300,10091,0
55017,Chippewa,WI,2519,41048,1
55025,Dane,WI,835,17248,0
49029,Morgan,UT,7859,88162,1
49031,Piute,UT,6052,47013,1
49035,Salt Lake,UT,9123,63606,2
49051,Wasatch,UT,1333,13694,0
50005,Caledonia,VT,1204,53870,1
50019,Orleans,VT,6924,239209,9
51007,Amelia,VA,2049,32440,0
51017,Bath,VA,899,13577,0
51029,Buckingham,VA,374,3384,0
51043,Clarke,VA,4302,44596,1
51047,Culpeper,VA,14532,234080,3
51063,Floyd,VA,1893,10001,0
51075,Goochland,VA,8697,134428,2
51101,King William,VA,1407,8948,0
51111,Lunenburg,VA,1086,20212,0
51113,Madison,VA,463,7681,0
01023,Choctaw,AL,17960,143722,2
01025,Clarke,AL,2146,14794,0
01029,Cleburne,AL,2073,13478,0
01031,Coffee,AL,557,5315,0
01037,Coosa,AL,3926,48748,1
01047,Dallas,AL,14758,91466,2
01055,Etowah,AL,867,6237,0
01059,Franklin,AL,4678,52215,1
01061,Geneva,AL,911,4736,0
01067,Henry,AL,3136,24025,0
01071,Jackson,AL,6019,92865,1
01081,Lee,AL,2536,12460,0
01085,Lowndes,AL,1936,34610,1
01087,Macon,AL,323,2177,0
01089,Madison,AL,13991,127877,2
02070,Dillingham,AK,7951,49030,0
02110,Juneau,AK,34760,161060,3
02130,Ketchikan Gateway,AK,1207,6629,0
02185,North Slope,AK,6592,27681,0
02195,Petersburg,AK,6461,54178,1
02220,Sitka,AK,30487,173604,4
02230,Skagway,AK,15293,62540,0
05143,Washington,AR,2755,26581,0
05147,Woodruff,AR,8706,61664,0
06003,Alpine,CA,5486,41837,1
06007,Butte,CA,2386,11247,0
01093,Marion,AL,2805,30522,1
01095,Marshall,AL,2056,16557,0
01097,Mobile,AL,2415,15156,0
01101,Montgomery,AL,2149,31194,0
01117,Shelby,AL,193,2507,0
01119,Sumter,AL,7676,51878,2
01125,Tuscaloosa,AL,9949,61100,1
01131,Wilcox,AL,5330,35081,0
02020,Anchorage,AK,2154,8078,0
02068,Denali,AK,1377,12567,0
72019,Barranquitas,PR,14560,98272,2
72025,Caguas,PR,13492,76940,2
72031,Carolina,PR,286,3668,0
72045,Comerío,PR,1427,21334,0
72054,Florida,PR,2083,13997,0
72061,Guaynabo,PR,3464,20237,0
72069,Humacao,PR,7117,57192,1
72083,Las Marías,PR,5506,70064,2
72093,Maricao,PR,595,4932,0
72105,Naranjito,PR,1269,12292,0
72115,Quebradillas,PR,1419,9217,0
72129,San Lorenzo,PR,15888,132146,3
72135,Toa Alta,PR,881,8058,0
72145,Vega Baja,PR,3706,51654,0
01007,Bibb,AL,1882,32168,0
01011,Bullock,AL,2995,24981,0
01015,Calhoun,AL,5946,54209,1
06045,Mendocino,CA,14604,117076,3
06049,Modoc,CA,1967,13201,0
06051,Mono,CA,8539,64019,1
06057,Nevada,CA,14963,106039,4
06059,Orange,CA,4240,69241,1
06065,Riverside,CA,3268,24050,0
06069,San Benito,CA,3246,32201,0
06073,San Diego,CA,21668,315266,5
06075,San Francisco,CA,10950,63139,1
06113,Yolo,CA,1713,33836,0
08001,Adams,CO,11273,125806,2
08007,Archuleta,CO,10930,105462,2
08009,Baca,CO,2413,30662,0
08015,Chaffee,CO,2664,13784,0
08017,Cheyenne,CO,2186,24907,1
08021,Conejos,CO,1905,28583,0
08023,Costilla,CO,624,3415,0
08029,Delta,CO,1556,11361,0
08037,Eagle,CO,2102,25634,0
08043,Fremont,CO,11362,71363,2
06081,San Mateo,CA,2367,26389,0
